CPU,GPU,Motherboard,RAM,Storage,PSU,Total Price,Total Wattage
AMD Ryzen 9 5900X,GeForce RTX 3060,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Corsair CV550,1268.03,889
AMD Ryzen 9 5900X,GeForce RTX 3060,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,MSI MAG A650BN,1288.03,989
AMD Ryzen 9 5900X,GeForce RTX 3060,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Cooler Master MWE 650 Bronze V2,1298.03,989
AMD Ryzen 9 5900X,Radeon RX 6700 XT,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Corsair CV550,1469.02,949
AMD Ryzen 9 5900X,Radeon RX 6700 XT,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,MSI MAG A650BN,1489.02,1049
AMD Ryzen 9 5900X,Radeon RX 6700 XT,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Cooler Master MWE 650 Bronze V2,1499.02,1049
AMD Ryzen 9 5900X,Radeon RX 6600 XT,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Corsair CV550,1339.02,879
AMD Ryzen 9 5900X,Radeon RX 6600 XT,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,MSI MAG A650BN,1359.02,979
AMD Ryzen 9 5900X,Radeon RX 6600 XT,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Cooler Master MWE 650 Bronze V2,1369.02,979
AMD Ryzen 9 5900X,GeForce GTX 980,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,MSI MAG A650BN,1206.3799999999999,984
AMD Ryzen 9 5900X,GeForce GTX 980,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Cooler Master MWE 650 Bronze V2,1216.3799999999999,984
AMD Ryzen 9 5900X,GeForce GTX 1070,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Corsair CV550,1281.58,869
AMD Ryzen 9 5900X,GeForce GTX 1070,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,MSI MAG A650BN,1301.58,969
AMD Ryzen 9 5900X,GeForce GTX 1070,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Cooler Master MWE 650 Bronze V2,1311.58,969
AMD Ryzen 9 5900X,GeForce GTX 1070 Ti,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Corsair CV550,1328.03,899
AMD Ryzen 9 5900X,GeForce GTX 1070 Ti,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,MSI MAG A650BN,1348.03,999
AMD Ryzen 9 5900X,GeForce GTX 1070 Ti,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Cooler Master MWE 650 Bronze V2,1358.03,999
AMD Ryzen 9 5900X,GeForce GTX 1080,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Corsair CV550,1381.82,899
AMD Ryzen 9 5900X,GeForce GTX 1080,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,MSI MAG A650BN,1401.82,999
AMD Ryzen 9 5900X,GeForce GTX 1080,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Cooler Master MWE 650 Bronze V2,1411.82,999
AMD Ryzen 9 5900X,GeForce GTX 1660 SUPER,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Corsair CV550,1269.02,844
AMD Ryzen 9 5900X,GeForce GTX 1660 SUPER,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,MSI MAG A650BN,1289.02,944
AMD Ryzen 9 5900X,GeForce GTX 1660 SUPER,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Cooler Master MWE 650 Bronze V2,1299.02,944
AMD Ryzen 9 5900X,GeForce RTX 2060,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Corsair CV550,1329.02,879
AMD Ryzen 9 5900X,GeForce RTX 2060,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,MSI MAG A650BN,1349.02,979
AMD Ryzen 9 5900X,GeForce RTX 2060,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Cooler Master MWE 650 Bronze V2,1359.02,979
AMD Ryzen 9 5900X,GeForce RTX 2060 SUPER,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Corsair CV550,1467.92,894
AMD Ryzen 9 5900X,GeForce RTX 2060 SUPER,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,MSI MAG A650BN,1487.92,994
AMD Ryzen 9 5900X,GeForce RTX 2060 SUPER,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Cooler Master MWE 650 Bronze V2,1497.92,994
AMD Ryzen 9 5900X,GeForce GTX 970,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Cooler Master MWE 650 Bronze V2,1207.02,964
AMD Ryzen 9 5900X,GeForce GTX 1660 Ti,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Corsair CV550,1289.02,839
AMD Ryzen 9 5900X,GeForce GTX 1660 Ti,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,MSI MAG A650BN,1309.02,939
AMD Ryzen 9 5900X,GeForce GTX 1660 Ti,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Cooler Master MWE 650 Bronze V2,1319.02,939
AMD Ryzen 9 5900X,GeForce GTX 1060,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Corsair CV550,1219.02,839
AMD Ryzen 9 5900X,GeForce GTX 1060,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,MSI MAG A650BN,1239.02,939
AMD Ryzen 9 5900X,GeForce GTX 1060,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Cooler Master MWE 650 Bronze V2,1249.02,939
AMD Ryzen 9 5900X,GeForce GTX 1660,MSI B550M PRO-VDH WiFi,Kingston Fury Beast 64GB DDR4,WD Blue 4TB HDD,Corsair CV550,1339.02,839
