transaction_id,build_profile,use_case,target_budget,cpu,cpu_brand,cpu_socket,cpu_mark,gpu,gpu_brand,gpu_mark,motherboard,motherboard_socket,ram,ram_type,ram_gb,storage,storage_type,storage_gb,psu,psu_wattage,required_wattage_with_headroom,total_price,compatibility_valid,data_origin
TX00001,midrange_gaming,Gaming,1417.51,AMD Ryzen 7 4700G,AMD,AM4,20138,Radeon RX 6700 XT,Radeon,19800,ASUS TUF Gaming B550-PLUS WiFi II,AM4,Corsair Vengeance LPX 32GB DDR4,DDR4,32,Crucial P3 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,463,1246.0,True,synthetic_expected_pairing
TX00002,highend_gaming,Gaming,2187.98,AMD Ryzen 9 3900XT,AMD,AM4,32869,GeForce RTX 3070 Ti,NVIDIA,23700,Gigabyte B550 AORUS Elite AX V2,AM4,Corsair Vengeance LPX 32GB DDR4,DDR4,32,Samsung 980 1TB NVMe SSD,NVMe,1000,Corsair RM750e,750,593,1929.77,True,synthetic_expected_pairing
TX00003,budget_gaming,Gaming,1166.58,AMD Ryzen 3 3300X,AMD,AM4,12746,Radeon RX 6600 XT,Radeon,16500,Gigabyte B550 AORUS Elite AX V2,AM4,Kingston Fury Beast 16GB DDR4,DDR4,16,Samsung 980 1TB NVMe SSD,NVMe,1000,MSI MAG A650BN,650,370,1054.99,True,synthetic_expected_pairing
TX00004,midrange_gaming,Gaming,1585.54,Intel Core i7-11700K @ 3.60GHz,Intel,LGA1200,24749,Radeon RX 6700 XT,Radeon,19800,MSI MAG B560M Mortar WiFi,LGA1200,Kingston Fury Beast 16GB DDR4,DDR4,16,WD Black SN770 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,539,1202.0,True,synthetic_expected_pairing
TX00005,budget_gaming,Gaming,1028.81,AMD Ryzen 5 3600X,AMD,AM4,18285,Radeon RX 6600,Radeon,15100,MSI B550M PRO-VDH WiFi,AM4,Kingston Fury Beast 16GB DDR4,DDR4,16,WD Black SN770 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,366,884.99,True,synthetic_expected_pairing
TX00006,highend_gaming,Gaming,2339.22,AMD Ryzen 9 5900X,AMD,AM4,39457,Radeon RX 6800 XT,Radeon,24600,Gigabyte B550 AORUS Elite AX V2,AM4,G.Skill Ripjaws V 32GB DDR4,DDR4,32,Samsung 990 Pro 2TB NVMe SSD,NVMe,2000,Cooler Master MWE 650 Bronze V2,650,609,1898.03,True,synthetic_expected_pairing
TX00007,workstation,Workstation,1802.93,Intel Core i9-12900KS,Intel,LGA1700,44243,Radeon RX 6600,Radeon,15100,Gigabyte Z790 Gaming X AX,LGA1700,Kingston Fury Beast 64GB DDR5,DDR5,64,Samsung 990 Pro 2TB NVMe SSD,NVMe,2000,Corsair CV550,550,475,1974.98,True,synthetic_expected_pairing
TX00008,general_productivity,General Productivity,1205.43,Intel Core i9-11900F @ 2.50GHz,Intel,LGA1200,23814,GeForce GTX 1660 Super,NVIDIA,12750,MSI MAG B560M Mortar WiFi,LGA1200,Corsair Vengeance LPX 32GB DDR4,DDR4,32,Kingston NV2 500GB NVMe SSD,NVMe,500,Corsair CV550,550,325,1036.99,True,synthetic_expected_pairing
TX00009,highend_gaming,Gaming,2367.53,AMD Ryzen 9 5950X,AMD,AM4,46195,Radeon RX 6800 XT,Radeon,24600,ASUS TUF Gaming B550-PLUS WiFi II,AM4,Kingston Fury Beast 64GB DDR4,DDR4,64,Crucial P3 Plus 2TB NVMe SSD,NVMe,2000,Cooler Master MWE 650 Bronze V2,650,614,2194.74,True,synthetic_expected_pairing
TX00010,budget_gaming,Gaming,1119.53,AMD Ryzen 7 4700G,AMD,AM4,20138,Radeon RX 6600,Radeon,15100,ASUS TUF Gaming B550-PLUS WiFi II,AM4,Corsair Vengeance LPX 32GB DDR4,DDR4,32,WD Black SN770 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,336,1100.0,True,synthetic_expected_pairing
TX00011,budget_gaming,Gaming,1419.97,Intel Core i9-10850K @ 3.60GHz,Intel,LGA1200,23055,Radeon RX 6600 XT,Radeon,16500,ASUS Prime B560M-A,LGA1200,Corsair Vengeance LPX 32GB DDR4,DDR4,32,Kingston NV2 500GB NVMe SSD,NVMe,500,MSI MAG A650BN,650,442,1125.44,True,synthetic_expected_pairing
TX00012,entry_gaming,Gaming,1007.34,AMD Ryzen 5 3500X,AMD,AM4,13319,GeForce GTX 1650,NVIDIA,7870,MSI B550M PRO-VDH WiFi,AM4,Kingston Fury Beast 16GB DDR4,DDR4,16,Crucial P3 1TB NVMe SSD,NVMe,1000,Corsair CV550,550,253,755.95,True,synthetic_expected_pairing
TX00013,midrange_gaming,Gaming,1593.68,AMD Ryzen 7 5700G,AMD,AM4,24545,Radeon RX 6700 XT,Radeon,19800,MSI B550M PRO-VDH WiFi,AM4,Corsair Vengeance LPX 32GB DDR4,DDR4,32,WD Black SN770 1TB NVMe SSD,NVMe,1000,MSI MAG A650BN,650,457,1154.0,True,synthetic_expected_pairing
