"name","price","cpu_mark","single_thread_score","wattage","power_perf","cores","socket"
"AMD Ryzen 9 5950X",649.74,46195,3498,105,"439.96",16,"AM4"
"Intel Core i9-12900KS",779.98,44243,4317,150,"294.95",8,"LGA 1700"
"Intel Core i9-12900KF",572.98,41163,4217,241,"170.8",8,"FCLGA1700"
"Intel Core i9-12900K",599.95,41077,4209,241,"170.44",8,"FCLGA1700"
"AMD Ryzen 9 5900X",393.03,39457,3494,105,"375.78",12,"AM4"
"AMD Ryzen 9 3950X",650,39157,2738,105,"372.92",16,"AM4"
"Intel Core i9-12900",509,38281,4162,65,"588.95",8,"FCLGA1700"
"Intel Core i9-12900F",529.99,35726,4045,65,"549.63",8,"FCLGA1700"
"Intel Core i9-12900T",489,34999,4032,35,"999.97",8,"FCLGA1700"
"Intel Core i7-12700K",409,34125,4047,190,"179.61",8,"FCLGA1700"
"Intel Core i7-12700KF",350.99,34110,4054,190,"179.53",8,"FCLGA1700"
"AMD Ryzen 9 3900XT",618.77,32869,2786,105,"313.04",12,"AM4"
"AMD Ryzen 9 3900X",359,32751,2725,105,"311.92",12,"AM4"
"Intel Core i7-12700F",312.96,32268,3987,65,"496.43",8,"FCLGA1700"
"Intel Core i7-12700",328,31659,3948,65,"487.07",8,"FCLGA1700"
"AMD Ryzen 9 3900",517.27,30660,2627,65,"471.7",12,"AM4"
"AMD Ryzen 7 5800X",333.99,28368,3485,105,"270.17",8,"AM4"
"Intel Core i5-12600K",277.98,27429,3965,150,"182.86",6,"FCLGA1700"
"Intel Core i5-12600KF",260.98,27186,3967,150,"181.24",6,"FCLGA1700"
"AMD Ryzen 7 5700X",299,27065,3397,65,"416.38",8,"AM4"
"Intel Core i9-11900K @ 3.50GHz",397.97,25539,3519,125,"204.31",8,"FCLGA1200"
"AMD Ryzen 7 5800X3D",599,25508,2850,105,"242.93",8,"AM4"
"Intel Core i9-11900KF @ 3.50GHz",379.98,25390,3563,125,"203.12",8,"FCLGA1200"
"Intel Core i7-11700K @ 3.60GHz",297,24749,3429,125,"197.99",8,"FCLGA1200"
"AMD Ryzen 7 5700G",233,24545,3281,65,"377.62",8,"AM4"
"Intel Core i7-11700KF @ 3.60GHz",279,24147,3420,125,"193.17",8,"FCLGA1200"
"AMD Ryzen 7 3800XT",391.65,23815,2845,105,"226.81",8,"AM4"
"Intel Core i9-11900F @ 2.50GHz",379.99,23814,3528,65,"366.37",8,"FCLGA1200"
"Intel Core i9-10900K @ 3.70GHz",389.97,23768,3167,125,"190.14",10,"FCLGA1200"
"Intel Core i9-10900KF @ 3.70GHz",339.99,23508,3141,125,"188.06",10,"FCLGA1200"
"AMD Ryzen 7 3800X",248.59,23275,2735,105,"221.67",8,"AM4"
"Intel Core i9-11900 @ 2.50GHz",347.88,23117,3443,65,"355.65",8,"FCLGA1200"
"Intel Core i9-10850K @ 3.60GHz",408.44,23055,3091,125,"184.44",10,"FCLGA1200"
"AMD Ryzen 7 PRO 3700",329.99,22800,2673,65,"350.76",8,"AM4"
"AMD Ryzen 7 3700X",367.52,22716,2680,65,"349.48",8,"AM4"
"Intel Core i7-12700T",339,22688,3295,35,"648.24",8,"FCLGA1700"
"AMD Ryzen 5 5600X",216.99,22088,3377,65,"339.82",6,"AM4"
"Intel Core i7-11700F @ 2.50GHz",289.99,21447,3339,65,"329.95",8,"FCLGA1200"
"Intel Core i5-12600",238.97,21368,3883,65,"328.73",6,"LGA 1700"
"AMD Ryzen 5 5600",189.99,21350,3208,65,"328.46",6,"AM4"
"Intel Core i9-10900F @ 2.80GHz",350,20881,3070,65,"321.25",10,"FCLGA1200"
"Intel Core i7-11700 @ 2.50GHz",316.99,20588,3146,95,"216.72",8,"FCLGA1200"
"AMD Ryzen 7 PRO 4750G",299.99,20570,2710,65,"316.46",8,"AM4"
"Intel Core i9-10900 @ 2.80GHz",389.97,20446,3057,65,"314.55",10,"FCLGA1200"
"Intel Core i5-12500",202,20309,3759,65,"312.45",6,"LGA 1700"
"Intel Core i9-11900T @ 1.50GHz",439,20225,3419,35,"577.86",8,"FCLGA1200"
"AMD Ryzen 7 4700G",319,20138,2758,65,"309.82",8,"AM4"
"AMD Ryzen 5 5500",159,19949,3096,65,"306.9",6,"AM4"
"AMD Ryzen 5 5600G",179.97,19830,3187,65,"305.08",6,"AM4"
"Intel Core i5-11600K @ 3.90GHz",209.99,19781,3374,125,"158.25",6,"FCLGA1200"
"Intel Core i5-11600KF @ 3.90GHz",232.49,19742,3359,125,"157.93",6,"FCLGA1200"
"Intel Core i5-12400F",174.98,19659,3567,65,"302.44",6,"FCLGA1700"
"Intel Core i5-12400",192,19571,3532,65,"301.09",6,"LGA 1700"
"Intel Core i7-10700K @ 3.80GHz",328.98,19277,3074,125,"154.22",8,"FCLGA1200"
"Intel Core i7-10700KF @ 3.80GHz",309.99,19143,3056,125,"153.14",8,"FCLGA1200"
"AMD Ryzen 5 3600XT",327.52,18780,2794,95,"197.69",6,"AM4"
"Intel Core i5-11600 @ 2.80GHz",216.41,18318,3302,65,"281.81",6,"FCLGA1200"
"AMD Ryzen 5 3600X",209.99,18285,2670,95,"192.47",6,"AM4"
"AMD Ryzen 5 3600",153.49,17822,2576,65,"274.18",6,"AM4"
"Intel Core i5-12500T",202,17728,3618,35,"506.53",6,"FCLGA1700"
"Intel Core i5-11500 @ 2.70GHz",197.19,17626,3153,65,"271.17",6,"FCLGA1200"
"AMD Ryzen 7 2700X",212.98,17578,2436,105,"167.41",8,"AM4"
"Intel Core i5-11400F @ 2.60GHz",149.99,17213,3023,65,"264.82",6,"FCLGA1200"
"Intel Core i5-11400 @ 2.60GHz",174.21,17132,3048,65,"263.57",6,"FCLGA1200"
"Intel Core i7-10700F @ 2.90GHz",249.99,16973,2919,65,"261.12",8,"FCLGA1200"
"Intel Core i7-10700 @ 2.90GHz",268.99,16946,2922,65,"260.71",8,"FCLGA1200"
"AMD Ryzen 5 4500",141.75,16698,2605,65,"256.89",6,"AM4"
"AMD Ryzen 5 PRO 4650G",257.36,16428,2664,65,"252.73",6,"AM4"
"AMD Ryzen 7 1800X",178.03,16306,2186,95,"171.64",8,"AM4"
"AMD Ryzen 7 2700",254.2,15654,2197,65,"240.82",8,"AM4"
"AMD Ryzen 7 1700X",168.06,15496,2074,95,"163.12",8,"AM4"
"Intel Core i7-11700T @ 1.40GHz",323,15271,2859,35,"436.3",8,"FCLGA1200"
"Intel Core i5-11600T @ 1.70GHz",213,15254,2884,35,"435.82",6,"FCLGA1200"
"Intel Core i9-10900T @ 1.90GHz",439,15134,2523,35,"432.4",10,"FCLGA1200"
"Intel Core i3-12300",143,14955,3673,60,"249.26",4,"LGA 1700"
"AMD Ryzen 7 1700",152.68,14628,1985,65,"225.05",8,"AM4"
"Intel Core i5-10600KF @ 4.10GHz",184.98,14575,2948,125,"116.6",6,"FCLGA1200"
"Intel Core i5-10600K @ 4.10GHz",212.97,14534,2936,125,"116.27",6,"FCLGA1200"
"Intel Core i3-12100",122,14503,3549,60,"241.72",4,"LGA 1700"
"AMD Ryzen 5 2600X",154.39,14053,2406,95,"147.92",6,"AM4"
"Intel Core i5-10600 @ 3.30GHz",219.99,13928,2911,65,"214.27",6,"FCLGA1200"
"Intel Core i5-11500T @ 1.50GHz",192,13820,2571,35,"394.85",6,"FCLGA1200"
"AMD Ryzen 5 3500X",184.95,13319,2525,65,"204.91",6,"AM4"
"AMD Ryzen 5 2600",124.88,13195,2250,65,"202.99",6,"AM4"
"Intel Core i7-10700T @ 2.00GHz",447.99,13119,2661,35,"374.82",8,"FCLGA1200"
"Intel Core i5-11400T @ 1.30GHz",182,13078,2549,35,"373.67",6,"FCLGA1200"
"Intel Core i5-10500 @ 3.10GHz",209.88,13056,2785,65,"200.86",6,"FCLGA1200"
"AMD Ryzen 5 1600X",169.46,12943,2183,95,"136.25",6,"AM4"
"Intel Core i3-12100T",122,12767,3412,35,"364.77",4,"FCLGA1700"
"AMD Ryzen 3 3300X",269.99,12746,2689,65,"196.1",4,"AM4"
"Intel Core i5-10400F @ 2.90GHz",124.99,12439,2572,65,"191.37",6,"FCLGA1200"
"Intel Core i5-10400 @ 2.90GHz",149.99,12320,2587,65,"189.53",6,"FCLGA1200"
"AMD Ryzen 5 1600",159.82,12314,2074,65,"189.45",6,"AM4"
"AMD Ryzen 3 3100",137.95,11660,2427,65,"179.38",4,"AM4"
"Intel Core i5-10600T @ 2.40GHz",213,11376,2422,35,"325.02",6,"FCLGA1200"
"Intel Core i5-10500T @ 2.30GHz",192,10365,2342,35,"296.14",6,"FCLGA1200"
"Intel Core i3-10325 @ 3.90GHz",154,10308,2890,65,"158.59",4,"FCLGA1200"
"Intel Core i3-10320 @ 3.80GHz",133.95,10115,2848,65,"155.61",4,"FCLGA1200"
"Intel Core i5-10400T @ 2.00GHz",182,10052,2168,35,"287.2",6,"FCLGA1200"
"Intel Core i3-10305 @ 3.80GHz",159.99,9689,2834,65,"149.06",4,"FCLGA1200"
"AMD Ryzen 5 3400G",228,9331,2360,65,"143.56",4,"AM4"
"Intel Core i3-10300 @ 3.70GHz",138.99,9284,2677,65,"142.82",4,"FCLGA1200"
"AMD Ryzen 5 1500X",120.36,9083,2110,65,"139.75",4,"AM4"
"Intel Core i3-10105 @ 3.70GHz",107,8928,2718,65,"137.36",4,"FCLGA1200"
"Intel Core i3-10100F @ 3.60GHz",79.99,8854,2604,65,"136.22",4,"FCLGA1200"
"Intel Core i3-10100 @ 3.60GHz",112.99,8800,2637,65,"135.39",4,"FCLGA1200"
"AMD Ryzen 5 2400G",214,8729,2158,65,"134.29",4,"AM4"
"Intel Core i3-10305T @ 3.00GHz",143,8136,2456,35,"232.46",4,"FCLGA1200"
"Intel Core i3-10300T @ 3.00GHz",174.28,7997,2350,35,"228.49",4,"FCLGA1200"
"Intel Core i3-10105T @ 3.00GHz",122,7850,2350,35,"224.28",4,"FCLGA1200"
"AMD Ryzen 5 1400",109.65,7783,1904,65,"119.74",4,"AM4"
"AMD Ryzen 3 2300X",178.09,7566,2364,65,"116.4",4,"AM4"
"AMD Ryzen 3 3200G",144.99,7188,2218,65,"110.58",4,"AM4"
"AMD Ryzen 3 1300X",115,6925,2096,65,"106.54",4,"AM4"
"AMD Ryzen 3 2200G",124,6781,2060,65,"104.33",4,"AM4"
"AMD Ryzen 3 1200",103.55,6304,1927,65,"96.98",4,"AM4"
"AMD Athlon 240GE",138,4551,1986,35,"130.03",2,"AM4"
"Intel Pentium Gold G6605 @ 4.30GHz",124.25,4493,2658,58,"77.47",2,"FCLGA1200"
"AMD Athlon 3000G",54.99,4480,1999,35,"128.01",2,"AM4"
"Intel Pentium Gold G6600 @ 4.20GHz",107.35,4396,2577,58,"75.8",2,"FCLGA1200"
"Intel Pentium Gold G6505 @ 4.20GHz",75,4378,2652,58,"75.48",2,"FCLGA1200"
"Intel Pentium Gold G6405 @ 4.10GHz",60.1,4285,2534,58,"73.87",2,"FCLGA1200"
"Intel Pentium Gold G6500 @ 4.10GHz",96.99,4147,2491,58,"71.5",2,"FCLGA1200"
"AMD Athlon 200GE",123.89,4135,1817,35,"118.15",2,"AM4"
"Intel Pentium Gold G6400 @ 4.00GHz",74.63,4130,2484,58,"71.21",2,"FCLGA1200"
"Intel Pentium Gold G6500T @ 3.50GHz",75,4005,2277,35,"114.42",2,"FCLGA1200"
"AMD PRO A12-9800",169,3878,1775,65,"59.66",4,"AM4"
"Intel Pentium Gold G6405T @ 3.50GHz",64,3746,2206,35,"107.04",2,"FCLGA1200"
"AMD PRO A10-9700",169,3644,1655,65,"56.06",2,"AM4"
"AMD Athlon X4 950",35.99,3611,1663,65,"55.55",4,"AM4"
"Intel Pentium Gold G6400T @ 3.40GHz",64,3610,2140,35,"103.14",2,"FCLGA1200"
"AMD A10-9700",91.75,3546,1616,65,"54.55",4,"AM4"
"AMD A12-9800E",371.05,3447,1604,35,"98.49",4,"AM4"
"AMD A12-9800",124.85,3447,1607,65,"53.03",2,"AM4"
"AMD PRO A8-9600",119,3347,1468,65,"51.5",2,"AM4"
"AMD A8-9600",98.99,3291,1486,65,"50.62",4,"AM4"
"AMD PRO A12-9800E",169,3182,1551,35,"90.92",4,"AM4"
"AMD A10-9700E",92.99,2947,1413,35,"84.21",4,"AM4"
"Intel Celeron G5925 @ 3.60GHz",53.93,2939,2282,58,"50.67",2,"FCLGA1200"
