"name","price","g3d_mark","g2d_mark","wattage","power_perf"
"GeForce RTX 3080 Ti",1199.99,26887,1031,350,76.82
"GeForce RTX 3090",1749.99,26395,999,350,75.41
"Radeon RX 6900 XT",1120.31,25458,1102,300,84.86
"GeForce RTX 3080",999,24853,1003,320,77.66
"GeForce RTX 3070 Ti",749.99,23367,1003,290,80.58
"Radeon RX 6800 XT",859,23364,1078,300,77.88
"GeForce RTX 3070",719.99,22093,969,220,100.42
"GeForce RTX 2080 Ti",998.59,21796,940,250,87.18
"Radeon RX 6800",758.99,20667,1030,250,82.67
"GeForce RTX 3060 Ti",599.99,20206,961,200,101.03
"GeForce RTX 2080 SUPER",683.99,19519,934,250,78.08
"Radeon RX 6700 XT",529.99,18993,1014,230,82.58
"TITAN V",1999.99,18816,845,250,75.26
"GeForce RTX 2080",633.03,18732,917,250,74.93
"GeForce GTX 1080 Ti",604.15,18284,934,250,73.14
"NVIDIA TITAN Xp",1645,18280,812,250,73.12
"GeForce RTX 2070 SUPER",613.8,18168,896,215,84.5
"GeForce RTX 3060",329,16958,951,170,99.76
"Radeon RX 5700 XT",694.94,16892,955,225,75.08
"Radeon VII",1899.95,16767,788,300,55.89
"GeForce RTX 2060 SUPER",528.89,16514,881,175,94.37
"GeForce RTX 2070",627.44,16079,833,175,91.88
"Radeon RX 6600 XT",399.99,15853,1003,160,99.08
"GeForce GTX 1080",442.79,15265,890,180,84.8
"Radeon Pro W5700",1649.99,15085,908,205,73.59
"Radeon RX 5700",899.95,14729,926,180,81.83
"Radeon RX Vega 64",799.99,14636,810,295,49.62
"GeForce GTX 1070 Ti",389,14500,877,180,80.56
"Radeon Pro WX 8200",1599.39,14110,824,230,61.35
"GeForce RTX 2060",389.99,13953,752,160,87.2
"GeForce GTX 980 Ti",719.4,13864,854,250,55.45
"Radeon RX 5600 XT",545,13836,914,150,92.24
"Radeon Vega Frontier Edition",1679.99,13748,753,350,39.28
"NVIDIA TITAN X",608.1,13660,912,250,54.64
"Radeon RX Vega 56",752.99,13636,784,210,64.93
"GeForce GTX 1070",342.55,13482,857,150,89.88
"GeForce GTX TITAN X",1096.99,13173,843,250,52.69
"GeForce GTX 1660 SUPER",329.99,12732,823,125,101.85
"GeForce GTX 1660 Ti",349.99,11794,702,120,98.29
"GeForce GTX 1660",399.99,11695,796,120,97.46
"GeForce GTX 980",247.35,11237,815,165,68.1
"GeForce GTX 1060",279.99,10070,762,120,83.92
"GeForce GTX 1650 SUPER",441.05,10032,761,100,100.32
"Radeon R9 Fury + Fury X",449.99,9741,811,275,35.42
"GeForce GTX 1060 3GB",305,9728,779,120,81.07
"GeForce GTX 970",237.99,9688,781,145,66.81
"Radeon RX 590",549.99,9665,810,175,55.23
"GeForce GTX 780 Ti",339.99,9312,626,250,37.25
"Radeon Pro W5500",480.99,9269,896,125,74.15
"GeForce GTX TITAN Z",1515,9189,648,375,24.5
"Radeon RX 5500 XT",449,9188,824,130,70.68
"GeForce GTX TITAN Black",524.99,9140,616,250,36.56
"Radeon RX 580",349,8907,772,185,48.14
"GeForce GTX 1060 5GB",487.99,8704,680,120,72.54
"Radeon RX 480",339.99,8674,779,150,57.83
"Radeon R9 295X2",499.1,8619,804,500,17.24
"GeForce GTX Titan",745,8556,660,250,34.22
"Radeon R9 290X / 390X",319.99,8389,699,290,28.93
"Radeon Pro Duo",1199.06,8324,715,350,23.78
"Radeon R9 290 / 390",380,8150,695,275,29.64
"Radeon RX 470/570",388.99,8070,726,120,67.25
"GeForce GTX 780",279.99,8022,601,250,32.09
"GeForce GTX 1650",209,7807,592,75,104.09
"GeForce GTX 1050 Ti",189.42,6314,651,75,84.18
"Radeon R9 380",89.99,6275,675,190,33.02
"Radeon R9 380X",349.99,6189,670,190,32.57
"GeForce GTX 960",172,6042,671,120,50.35
"GeForce GTX 770",249,5892,551,230,25.62
"GeForce GTX 690",280.99,5654,458,300,18.85
"Radeon HD 7990",399.99,5566,766,375,14.84
"Radeon R9 285 / 380",485,5550,655,190,29.21
"GeForce GTX 680",399,5535,528,195,28.38
"GeForce GTX 950",141.99,5392,641,90,59.91
"GeForce GTX 670",193.98,5304,523,170,31.2
"Radeon HD 7970 / R9 280X",246.99,5248,730,250,20.99
"GeForce GTX 760 Ti",297.5,5206,555,170,30.62
"GeForce GTX 1050",203.1,5090,475,75,67.86
"Radeon R9 270X",326.5,4923,607,180,27.35
"GeForce GTX 760",149,4775,523,170,28.09
"Radeon HD 7950 / R9 280",259.98,4765,691,200,23.82
"Radeon R9 370",159.99,4722,781,150,31.48
"Radeon HD 7870",176,4661,587,175,26.64
"GeForce GTX 580",139.92,4538,456,244,18.6
"GeForce GTX 660 Ti",144,4367,449,150,29.11
"Radeon R9 270 / R7 370",213.16,4260,645,150,28.4
"Radeon RX 460",166.81,4114,570,75,54.86
"GeForce GTX 480",169.99,4110,447,250,16.44
"GeForce GTX 660",167.95,4004,476,140,28.6
"GeForce GTX 750 Ti",88.11,3919,498,60,65.32
"GeForce GTX 570",149.99,3902,466,219,17.82
"Radeon HD 7850",169.99,3826,550,130,29.43
"Radeon Pro WX 4100",499.99,3766,690,50,75.32
"Radeon RX 560",225.91,3594,506,80,44.92
"GeForce GTX 750",219.99,3399,480,55,61.8
"GeForce GTX 590",435,3307,470,365,9.06
"GeForce GTX 470",59.99,3147,381,215,14.64
"Radeon R7 260X",139.99,3147,506,115,27.37
"Radeon HD 7790",139.99,3090,459,85,36.36
"GeForce GTX 560 Ti",129.99,3056,416,170,17.98
"Radeon R7 360",145.99,3034,495,100,30.34
"Radeon R9 360",133.89,3032,460,85,35.67
"Radeon HD 6990",498.49,3013,630,375,8.04
"Radeon R7 260",89.99,2892,559,95,30.44
"Radeon HD 6970",149.99,2863,430,250,11.45
"Radeon RX 550",157.74,2718,484,50,54.35
"GeForce GTX 560",205,2711,418,150,18.08
"GeForce GTX 465",195,2681,454,200,13.41
"Radeon HD 6950",139.99,2650,421,200,13.25
"GeForce GT 1030",109.99,2545,449,30,84.82
"GeForce GTX 650 Ti",93.05,2527,400,110,22.98
"GeForce GTX 460",89.99,2289,381,150,15.26
"Radeon R7 250X",194,2269,637,95,23.88
"Radeon HD 5870",295,2266,410,228,9.94
"Radeon HD 5970",179.99,2249,393,294,7.65
"Radeon HD 6870",275,2223,397,151,14.72
"Radeon HD 7770",300,2204,471,80,27.55
"GeForce GTX 745",284.95,2175,469,55,39.54
"GeForce GTX 560 SE",89.99,2087,413,150,13.91
"Radeon R9 350",299,2007,552,60,33.45
"GeForce GTX 460 v2",199.99,2005,459,160,12.53
"Radeon HD 6850",85,1979,425,127,15.59
"GeForce GTX 460 SE",159.99,1974,359,150,13.16
"Radeon HD 5850",288.99,1966,404,151,13.02
"Radeon R7 450",299,1966,573,65,30.25
"Radeon RX 570X",279.99,1923,750,120,16.03
"GeForce GTX 650",109.98,1769,346,64,27.63
"Radeon HD 5830",258.99,1735,382,175,9.91
"Radeon HD 7750",99.99,1696,398,55,30.85
"Radeon HD 6790",294,1613,370,150,10.75
"GeForce GTX 550 Ti",99.99,1557,363,116,13.42
"GeForce GTX 285",119.99,1550,117,204,7.6
"Radeon HD 4890",89.99,1533,103,190,8.07
"GeForce GT 740",236.99,1529,344,64,23.88
"GeForce GTX 275",431.72,1401,106,219,6.4
"Radeon HD 4870",79.99,1391,72,150,9.27
"Radeon HD 5770",189.99,1351,328,108,12.51
"GeForce GTS 450",79.99,1321,303,106,12.47
"Radeon HD 6770",264.99,1231,313,108,11.4
"GeForce GTX 260",79.99,1221,88,202,6.05
"Radeon HD 7730",232.7,1217,402,47,25.89
"GeForce GT 640",109.99,1182,285,65,18.18
"GeForce GTX 280",522.78,1181,121,236,5
"GeForce GTX 295",159.99,1171,150,289,4.05
"Radeon HD 5750",69.99,1156,336,86,13.44
"Radeon R7 250",189.97,1151,296,75,15.34
"Radeon HD 6750",79.99,1005,304,86,11.69
"Radeon HD 8570",98.68,991,308,66,15.01
