name,price,wattage,socket,ram_type
MSI B550M PRO-VDH WiFi,149,40,AM4,DDR4
Gigabyte B550 AORUS Elite AX V2,189,45,AM4,DDR4
ASUS TUF Gaming B550-PLUS WiFi II,219,45,AM4,DDR4
Gigabyte B650 Eagle AX,269,50,AM5,DDR5
MSI PRO B650M-A WiFi,249,50,AM5,DDR5
ASUS TUF Gaming B650-PLUS WiFi,329,55,AM5,DDR5
ASUS Prime B560M-A,159,40,LGA1200,DDR4
MSI MAG B560M Mortar WiFi,189,45,LGA1200,DDR4
Gigabyte B560 AORUS PRO AX,219,45,LGA1200,DDR4
ASUS Prime B760M-A WiFi,219,45,LGA1700,DDR5
MSI PRO B760M-A WiFi DDR5,239,45,LGA1700,DDR5
Gigabyte Z790 Gaming X AX,339,60,LGA1700,DDR5
