antecedents,consequents,support,confidence,lift
RAM:Kingston Fury Beast 16GB DDR5,Motherboard:ASUS Prime B760M-A WiFi,0.0101,0.39763779527559057,7.4884707208209145
RAM:Kingston Fury Beast 64GB DDR5,Motherboard:Gigabyte Z790 Gaming X AX,0.0289,0.5515267175572519,6.060733159969802
Motherboard:Gigabyte Z790 Gaming X AX,RAM:Kingston Fury Beast 64GB DDR5,0.0289,0.31758241758241756,6.060733159969801
RAM:Kingston Fury Beast 64GB DDR4,PSU:Cooler Master MWE 650 Bronze V2,0.0127,0.32987012987012987,5.880037965599463
PSU:Cooler Master MWE 650 Bronze V2,RAM:Kingston Fury Beast 64GB DDR4,0.0127,0.22638146167557932,5.880037965599463
RAM:Corsair Vengeance 32GB DDR5,Motherboard:ASUS Prime B760M-A WiFi,0.014,0.2702702702702703,5.089835598310175
Motherboard:ASUS Prime B760M-A WiFi,RAM:Corsair Vengeance 32GB DDR5,0.014,0.263653483992467,5.089835598310175
RAM:G.Skill Flare X5 32GB DDR5,Motherboard:MSI PRO B760M-A WiFi DDR5,0.0182,0.32269503546099293,4.979861658348657
Motherboard:MSI PRO B760M-A WiFi DDR5,RAM:G.Skill Flare X5 32GB DDR5,0.0182,0.2808641975308642,4.979861658348656
RAM:Corsair Vengeance 32GB DDR5,Motherboard:MSI PRO B760M-A WiFi DDR5,0.0164,0.31660231660231664,4.8858382191715535
Motherboard:MSI PRO B760M-A WiFi DDR5,RAM:Corsair Vengeance 32GB DDR5,0.0164,0.25308641975308643,4.885838219171553
RAM:G.Skill Flare X5 32GB DDR5,Motherboard:Gigabyte Z790 Gaming X AX,0.0248,0.43971631205673756,4.832047385238875
Motherboard:Gigabyte Z790 Gaming X AX,RAM:G.Skill Flare X5 32GB DDR5,0.0248,0.2725274725274725,4.832047385238874
RAM:Kingston Fury Beast 64GB DDR5,Motherboard:MSI PRO B760M-A WiFi DDR5,0.016,0.3053435114503817,4.712091226086137
Motherboard:MSI PRO B760M-A WiFi DDR5,RAM:Kingston Fury Beast 64GB DDR5,0.016,0.2469135802469136,4.712091226086137
RAM:Corsair Vengeance 32GB DDR5,Motherboard:Gigabyte Z790 Gaming X AX,0.0214,0.41312741312741313,4.539861682718826
Motherboard:Gigabyte Z790 Gaming X AX,RAM:Corsair Vengeance 32GB DDR5,0.0214,0.23516483516483516,4.539861682718826
Motherboard:ASUS Prime B760M-A WiFi,RAM:G.Skill Flare X5 32GB DDR5,0.0134,0.2523540489642185,4.474362570287562
RAM:G.Skill Flare X5 32GB DDR5,Motherboard:ASUS Prime B760M-A WiFi,0.0134,0.2375886524822695,4.474362570287561
RAM:Kingston Fury Beast 64GB DDR5,PSU:Cooler Master MWE 650 Bronze V2,0.0124,0.23664122137404578,4.218203589555183
PSU:Cooler Master MWE 650 Bronze V2,RAM:Kingston Fury Beast 64GB DDR5,0.0124,0.22103386809269163,4.218203589555183
GPU:GeForce RTX 3070 Ti,Motherboard:Gigabyte Z790 Gaming X AX,0.0101,0.31761006289308175,3.4902204713525466
RAM:Kingston Fury Beast 16GB DDR4 | Storage:Kingston NV2 500GB NVMe SSD,GPU:Radeon RX 6500 XT,0.0174,0.26443768996960487,3.3945788186085353
GPU:Radeon RX 6500 XT,RAM:Kingston Fury Beast 16GB DDR4 | Storage:Kingston NV2 500GB NVMe SSD,0.0174,0.22336328626444157,3.394578818608535
GPU:Radeon RX 6800 XT,Storage:Crucial P3 Plus 2TB NVMe SSD,0.0101,0.3726937269372694,3.2492914292700035
GPU:Radeon RX 6800 XT,Storage:Samsung 990 Pro 2TB NVMe SSD,0.0103,0.3800738007380074,3.1805338973891835
GPU:GeForce RTX 3080 Ti,Storage:Crucial P3 Plus 2TB NVMe SSD,0.0105,0.3595890410958904,3.1350395910714073
PSU:Corsair CV550 | Storage:Samsung 990 Pro 2TB NVMe SSD,GPU:GeForce RTX 3060 Ti,0.0124,0.2767857142857143,3.1204702850700596
GPU:Radeon RX 6900 XT,Storage:Crucial P3 Plus 2TB NVMe SSD,0.0108,0.35409836065573774,3.0871696656995447
RAM:Corsair Vengeance LPX 16GB DDR4 | Storage:Kingston NV2 500GB NVMe SSD,GPU:Radeon RX 6500 XT,0.0162,0.23929098966026588,3.071771369194684
GPU:Radeon RX 6500 XT,RAM:Corsair Vengeance LPX 16GB DDR4 | Storage:Kingston NV2 500GB NVMe SSD,0.0162,0.2079589216944801,3.071771369194684
PSU:Corsair CV550 | Storage:Crucial P3 Plus 2TB NVMe SSD,GPU:GeForce RTX 3060 Ti,0.0109,0.2718204488778055,3.064492095578416
GPU:GeForce RTX 3080,Motherboard:Gigabyte Z790 Gaming X AX,0.01,0.2777777777777778,3.0525030525030528
PSU:Corsair CV550 | Storage:Crucial P3 Plus 2TB NVMe SSD,GPU:GeForce RTX 3070,0.0105,0.26184538653366585,3.0166519185906204
GPU:GeForce RTX 3080,Storage:Crucial P3 Plus 2TB NVMe SSD,0.0124,0.34444444444444444,3.0030030030030033
PSU:Corsair RM750e,Storage:Crucial P3 Plus 2TB NVMe SSD,0.0137,0.33743842364532023,2.9419217405869245
GPU:Radeon RX 6900 XT,Storage:Samsung 990 Pro 2TB NVMe SSD,0.0107,0.3508196721311475,2.935729473900816
RAM:Kingston Fury Beast 64GB DDR4,Storage:Crucial P3 Plus 2TB NVMe SSD,0.0129,0.33506493506493507,2.9212287276803406
PSU:Corsair RM750e,Motherboard:Gigabyte Z790 Gaming X AX,0.0107,0.26354679802955666,2.896118659665458
RAM:Kingston Fury Beast 64GB DDR4,Motherboard:ASUS TUF Gaming B550-PLUS WiFi II,0.0195,0.5064935064935066,2.8583154993990214
GPU:GeForce RTX 3070 Ti,Storage:Samsung 990 Pro 2TB NVMe SSD,0.0107,0.33647798742138363,2.8157153759111604
CPU:AMD Ryzen 9 3900XT,Motherboard:ASUS TUF Gaming B550-PLUS WiFi II,0.0117,0.4814814814814815,2.7171641167126497
Motherboard:MSI B550M PRO-VDH WiFi | RAM:Kingston Fury Beast 16GB DDR4,GPU:Radeon RX 6500 XT,0.0103,0.2110655737704918,2.709442538773964
PSU:Cooler Master MWE 650 Bronze V2,Storage:Samsung 990 Pro 2TB NVMe SSD,0.018,0.32085561497326204,2.684984225717674
GPU:Radeon RX 6500 XT | RAM:Kingston Fury Beast 16GB DDR4,Storage:Kingston NV2 500GB NVMe SSD,0.0174,0.4915254237288135,2.672786425931558
GPU:Radeon RX 6500 XT,PSU:Corsair CV550 | Storage:Kingston NV2 500GB NVMe SSD,0.03,0.3851091142490372,2.644980180281849
PSU:Corsair CV550 | Storage:Kingston NV2 500GB NVMe SSD,GPU:Radeon RX 6500 XT,0.03,0.20604395604395603,2.644980180281849
PSU:Corsair RM750e,Storage:Samsung 990 Pro 2TB NVMe SSD,0.0128,0.3152709359605912,2.6382505101304705
Motherboard:MSI B550M PRO-VDH WiFi | RAM:Corsair Vengeance LPX 16GB DDR4,GPU:Radeon RX 6500 XT,0.0103,0.20517928286852588,2.6338803962583555
GPU:GeForce RTX 3080,Storage:Samsung 990 Pro 2TB NVMe SSD,0.0113,0.3138888888888889,2.626685262668526
GPU:Radeon RX 6500 XT | PSU:Corsair CV550,Storage:Kingston NV2 500GB NVMe SSD,0.03,0.47393364928909953,2.5771269673142987
GPU:Radeon RX 6500 XT,Storage:Kingston NV2 500GB NVMe SSD,0.0366,0.46983311938382544,2.5548293604340695
RAM:Kingston Fury Beast 64GB DDR4,Storage:Samsung 990 Pro 2TB NVMe SSD,0.0117,0.3038961038961039,2.5430636309297396
PSU:Cooler Master MWE 650 Bronze V2,Motherboard:Gigabyte Z790 Gaming X AX,0.0129,0.22994652406417113,2.5268848798260564
RAM:Kingston Fury Beast 64GB DDR5,Storage:Samsung 990 Pro 2TB NVMe SSD,0.0158,0.3015267175572519,2.5232361301862087
